sector_hours,utilization,capacity,load_factor
EGTTOCK_0000_0100_E,0,49,0.0
EGTTOCK_0100_0200_E,0,49,0.0
EGTTOCK_0200_0300_E,0,49,0.0
EGTTOCK_0300_0400_E,0,49,0.0
EGTTOCK_0400_0500_E,0,49,0.0
EGTTOCK_0500_0600_E,0,49,0.0
EGTTOCK_0600_0700_E,0,49,0.0
EGTTOCK_0700_0800_E,0,49,0.0
EGTTOCK_0800_0900_E,0,49,0.0
EGTTOCK_0900_1000_E,0,49,0.0
EGTTOCK_1000_1100_E,0,49,0.0
EGTTOCK_1100_1200_E,0,49,0.0
EGTTOCK_1200_1300_E,0,49,0.0
EGTTOCK_1300_1400_E,0,49,0.0
EGTTOCK_1400_1500_E,0,49,0.0
EGTTOCK_1500_1600_E,0,49,0.0
EGTTOCK_1600_1700_E,0,49,0.0
EGTTOCK_1700_1800_E,0,49,0.0
EGTTOCK_1800_1900_E,0,49,0.0
EGTTOCK_1900_2000_E,0,49,0.0
EGTTOCK_2000_2100_E,0,49,0.0
EGTTOCK_2100_2200_E,0,49,0.0
EGTTOCK_2200_2300_E,0,49,0.0
EGTTOCK_2300_2400_E,0,49,0.0
EHAA1+2_0420_0500_E,0,30,0.0
EHAA1+2_1800_1900_E,0,44,0.0
EHAA1+2_1900_2000_E,0,44,0.0
EHAA1+2_2000_2040_E,0,30,0.0
EHAA1+2_2040_2100_E,0,15,0.0
EHAA12345_0000_0100_E,0,46,0.0
EHAA12345_0100_0200_E,0,46,0.0
EHAA12345_0200_0300_E,0,46,0.0
EHAA12345_0300_0400_E,0,46,0.0
EHAA12345_0400_0420_E,0,16,0.0
EHAA12345_2100_2200_E,0,46,0.0
EHAA12345_2200_2300_E,0,46,0.0
EHAA12345_2300_2400_E,0,46,0.0
EHAA3+4+5_0420_0500_E,0,30,0.0
EHAA3+4+5_2040_2100_E,0,15,0.0
EHAA4+5_0500_0520_E,0,14,0.0
EHAA4+5_1740_1800_E,0,14,0.0
EHAA4+5_1800_1900_E,0,41,0.0
EHAA4+5_1900_2000_E,0,41,0.0
EHAA4+5_2000_2040_E,0,28,0.0
EISNLOW_0000_0100_E,0,20,0.0
EISNLOW_0100_0200_E,0,20,0.0
EISNLOW_0200_0300_E,0,20,0.0
EISNLOW_0300_0400_E,0,20,0.0
EISNLOW_0400_0500_E,0,20,0.0
EISNLOW_0500_0600_E,0,20,0.0
EISNLOW_0600_0700_E,0,20,0.0
EISNLOW_0700_0800_E,0,20,0.0
EISNLOW_0800_0900_E,0,20,0.0
EISNLOW_0900_0930_E,0,10,0.0
EISNLOW_0930_1000_E,0,10,0.0
EISNLOW_1000_1100_E,0,20,0.0
EISNLOW_1100_1200_E,0,20,0.0
EISNLOW_1200_1300_E,0,20,0.0
EISNLOW_1300_1400_E,0,20,0.0
EISNLOW_1400_1500_E,0,20,0.0
EISNLOW_1500_1600_E,0,20,0.0
EISNLOW_1600_1700_E,0,20,0.0
EISNLOW_1700_1800_E,0,20,0.0
EISNLOW_1800_1900_E,0,20,0.0
EISNLOW_1900_2000_E,0,20,0.0
EISNLOW_2000_2100_E,0,20,0.0
