sector_hours,utilization,capacity,load_factor
EGTTOCK_0000_0100_E,0,49,0.0
EGTTOCK_0100_0200_E,2,49,0.04081632653061224
EGTTOCK_0200_0300_E,1,49,0.02040816326530612
EGTTOCK_0300_0400_E,0,49,0.0
EGTTOCK_0400_0500_E,1,49,0.02040816326530612
EGTTOCK_0500_0600_E,15,49,0.30612244897959184
EGTTOCK_0600_0700_E,46,49,0.9387755102040817
EGTTOCK_0700_0800_E,51,49,1.0408163265306123
EGTTOCK_0800_0900_E,42,49,0.8571428571428571
EGTTOCK_0900_1000_E,39,49,0.7959183673469388
EGTTOCK_1000_1100_E,31,49,0.6326530612244898
EGTTOCK_1100_1200_E,45,49,0.9183673469387755
EGTTOCK_1200_1300_E,39,49,0.7959183673469388
EGTTOCK_1300_1400_E,37,49,0.7551020408163265
EGTTOCK_1400_1500_E,42,49,0.8571428571428571
EGTTOCK_1500_1600_E,51,49,1.0408163265306123
EGTTOCK_1600_1700_E,43,49,0.8775510204081632
EGTTOCK_1700_1800_E,53,49,1.0816326530612246
EGTTOCK_1800_1900_E,47,49,0.9591836734693877
EGTTOCK_1900_2000_E,43,49,0.8775510204081632
EGTTOCK_2000_2100_E,46,49,0.9387755102040817
EGTTOCK_2100_2200_E,29,49,0.5918367346938775
EGTTOCK_2200_2300_E,13,49,0.2653061224489796
EGTTOCK_2300_2400_E,5,49,0.10204081632653061
EHAA1+2_0420_0500_E,14,30,0.4666666666666667
EHAA1+2_1800_1900_E,31,44,0.7045454545454546
EHAA1+2_1900_2000_E,53,44,1.2045454545454546
EHAA1+2_2000_2040_E,24,30,0.8
EHAA1+2_2040_2100_E,2,15,0.13333333333333333
EHAA12345_0000_0100_E,0,46,0.0
EHAA12345_0100_0200_E,4,46,0.08695652173913043
EHAA12345_0200_0300_E,5,46,0.10869565217391304
EHAA12345_0300_0400_E,10,46,0.21739130434782608
EHAA12345_0400_0420_E,5,16,0.3125
EHAA12345_2100_2200_E,25,46,0.5434782608695652
EHAA12345_2200_2300_E,16,46,0.34782608695652173
EHAA12345_2300_2400_E,5,46,0.10869565217391304
EHAA3+4+5_0420_0500_E,9,30,0.3
EHAA3+4+5_2040_2100_E,16,15,1.0666666666666667
EHAA4+5_0500_0520_E,1,14,0.07142857142857142
EHAA4+5_1740_1800_E,9,14,0.6428571428571429
EHAA4+5_1800_1900_E,25,41,0.6097560975609756
EHAA4+5_1900_2000_E,24,41,0.5853658536585366
EHAA4+5_2000_2040_E,17,28,0.6071428571428571
EISNLOW_0000_0100_E,0,20,0.0
EISNLOW_0100_0200_E,0,20,0.0
EISNLOW_0200_0300_E,0,20,0.0
EISNLOW_0300_0400_E,0,20,0.0
EISNLOW_0400_0500_E,2,20,0.1
EISNLOW_0500_0600_E,15,20,0.75
EISNLOW_0600_0700_E,16,20,0.8
EISNLOW_0700_0800_E,4,20,0.2
EISNLOW_0800_0900_E,8,20,0.4
EISNLOW_0900_0930_E,10,10,1.0
EISNLOW_0930_1000_E,9,10,0.9
EISNLOW_1000_1100_E,17,20,0.85
EISNLOW_1100_1200_E,14,20,0.7
EISNLOW_1200_1300_E,16,20,0.8
EISNLOW_1300_1400_E,16,20,0.8
EISNLOW_1400_1500_E,16,20,0.8
EISNLOW_1500_1600_E,8,20,0.4
EISNLOW_1600_1700_E,18,20,0.9
EISNLOW_1700_1800_E,15,20,0.75
EISNLOW_1800_1900_E,15,20,0.75
EISNLOW_1900_2000_E,8,20,0.4
EISNLOW_2000_2100_E,7,20,0.35
EISNLOW_2100_2200_E,5,20,0.25
EISNLOW_2200_2300_E,6,20,0.3
EISNLOW_2300_2400_E,2,20,0.1
EKDKY_0000_0100_E,0,10,0.0
EKDKY_0100_0200_E,0,10,0.0
EKDKY_0200_0300_E,0,10,0.0
EKDKY_0300_0400_E,0,10,0.0
EKDKY_0400_0440_E,0,7,0.0
EKDKY_0440_0500_E,0,4,0.0
EKDKY_0500_0520_E,0,4,0.0
EKDKY_0520_0600_E,2,7,0.2857142857142857
EKDKY_0600_0700_E,0,10,0.0
EKDKY_0700_0720_E,2,4,0.5
EKDKY_0720_0800_E,0,7,0.0
EKDKY_0800_0900_E,0,10,0.0
EKDKY_0900_1000_E,1,10,0.1
EKDKY_1000_1100_E,2,10,0.2
EKDKY_1100_1200_E,1,10,0.1
EKDKY_1200_1300_E,1,10,0.1
EKDKY_1300_1400_E,1,10,0.1
EKDKY_1400_1500_E,1,10,0.1
EKDKY_1500_1600_E,0,10,0.0
EKDKY_1600_1700_E,2,10,0.2
EKDKY_1700_1800_E,1,10,0.1
EKDKY_1800_1900_E,3,10,0.3
EKDKY_1900_2000_E,0,10,0.0
EKDKY_2000_2100_E,0,10,0.0
EKDKY_2100_2200_E,0,10,0.0
EKDKY_2200_2300_E,0,10,0.0
EKDKY_2300_2400_E,0,10,0.0
ENKRTAWC_0000_0100_E,0,12,0.0
ENKRTAWC_0100_0200_E,0,12,0.0
ENKRTAWC_0200_0300_E,0,12,0.0
ENKRTAWC_0300_0400_E,0,12,0.0
ENKRTAWC_0400_0500_E,0,12,0.0
ENKRTAWC_0500_0600_E,0,12,0.0
ENKRTAWC_0600_0700_E,0,12,0.0
ENKRTAWC_0700_0800_E,0,12,0.0
ENKRTAWC_0800_0900_E,1,12,0.08333333333333333
ENKRTAWC_0900_1000_E,1,12,0.08333333333333333
ENKRTAWC_1000_1100_E,0,12,0.0
ENKRTAWC_1100_1200_E,0,12,0.0
ENKRTAWC_1200_1300_E,0,12,0.0
ENKRTAWC_1300_1400_E,0,12,0.0
ENKRTAWC_1400_1500_E,0,12,0.0
ENKRTAWC_1500_1600_E,0,12,0.0
ENKRTAWC_1600_1700_E,0,12,0.0
ENKRTAWC_1700_1800_E,1,12,0.08333333333333333
ENKRTAWC_1800_1900_E,0,12,0.0
ENKRTAWC_1900_2000_E,0,12,0.0
ENKRTAWC_2000_2100_E,0,12,0.0
ENKRTAWC_2100_2200_E,0,12,0.0
ENKRTAWC_2200_2300_E,0,12,0.0
ENKRTAWC_2300_2400_E,0,12,0.0
ENMLTALL_0000_0100_E,0,20,0.0
ENMLTALL_0100_0200_E,0,20,0.0
ENMLTALL_0200_0300_E,0,20,0.0
ENMLTALL_0300_0400_E,0,20,0.0
ENMLTALL_0400_0500_E,6,20,0.3
ENMLTALL_0500_0600_E,5,20,0.25
ENMLTALL_0600_0700_E,4,20,0.2
ENMLTALL_0700_0800_E,13,20,0.65
ENMLTALL_0800_0900_E,4,20,0.2
ENMLTALL_0900_1000_E,2,20,0.1
